,German,English
64,"Es ist so unpersÃ¶nlich, wenn du mich Lehrer nennst",It is so impersonal when you call me a teacher
66,"In der Schule sagen wir ""Lehrer""","At school we say ""teacher"""
67,Kellner,Waiters
68,"Im Restaurant sagen wir ""Kellner""","In the restaurant we say ""waiter"""
69,"Im Krankenhaussagen ""Krankenschwester""","Inside the hospital saying ""nurse"""
70,In Brasilien reden wir mit den Personen auf einem informellen Weg.,"In Brazil, we talk to people informally."
71,In Albanien ist das auch so.,It is the same in Albania.
72,"Ich habe jetzt noch Ohrenschmerzen von Kindern, die alle ""Lehrerin"" schreien","I still have earache from children who all scream ""teacher"""
73,schreien - to shout,shout - to shout
74,"Ich habe in einer Schule gearbeitet, aber im Kindergarten machen das die Kinder auch","I worked in a school, but in kindergarten the children do the same"
76,"Nein, ich denke nur, ich habe ein Trauma von den SchÃ¼lern","No, I just think I got a trauma from the students"
77,furchtbar - horrible,Horrible - Horrible
78,"In Chile mÃ¼ssen wir den Beruf nennen, und nicht den Namen.","In Chile we have to name the profession, not the name."
79,Das ist informell und unhÃ¶flich oder respektlos.,This is informal and rude or disrespectful.
80,Deshalb - that's why,That's why - that's why
82,Deshalb war ich sehr beeindruckt,That's why I was very impressed
83,would like to .... wÃ¼rden,Would like to....
84,"Kathleen mÃ¶chte, dass die SchÃ¼ler ihren Namen sagen.",Kathleen wants the students to say her name.
86,From Me to Everyone 03:31 AM,From Me to Everyone 03: 31 AM
87,"ist righting Frau Bistrosch in Deutsch for ""respect""?","Is Mrs Bistrosch in German for ""respect""?"
89,From Kathleen to Everyone 03:35 AM,From Kathleen to Everyone 03: 35 AM
91,"Stadt - city, town","City - city, town"
92,Meine Lieblingsstadt in Brasilien ist Salvador,My favourite city in Brazil is Salvador
94,In Salvador ist das Wetter heiÃ und warm,"In Salvador, the weather is hot and warm"
95,der Strand,the Beach
96,die StrÃ¤nde,the Beaches
98,Es gibt schÃ¶ne StrÃ¤nde.,There are beautiful beaches.
99,Sind es Sand- oder SteinstrÃ¤nde?,Is it sandy or rocky beaches?
100,From Khaled Choqo to Everyone 03:35 AM,From Khaled Choqo to Everyone 03: 35 AM
101,ich denke Salvador is land kein stadt ð,I think Salvador is not a city.
102,From Kathleen to Everyone 03:48 AM,From Kathleen to Everyone 03: 48 AM
103,Es sind SandstrÃ¤nde,There are sandy beaches
104,Kathleen,Kathleen
105,Deine Frage an Nataly,Your question to Nataly
106,Wie geht es dir?,How are you?
107,Wie kommst du mit Deutsch voran?,How do you get along with German?
108,voran kommen,Getting ahead
109,Ich komme sehr gut voran,I am getting on very well
111,Es ist eine Herausforderung.,It's a challenge.
112,Ich mache neue Freunde.,I make new friends.
113,Wir sprechen Deutsch zusammen.,We speak German together.
114,Das ist eine gute Strategie.,That is a good strategy.
115,gut - besser - am besten,good - better - best
116,I should - I sollte,I should - I should
118,more - mehr,more - more
119,"Mein Deutsch wird besser, aber ich sollte mehr lernen.","My German is getting better, but I should learn more."
120,Ich habe nur A1.1,I only have A1.1
121,to become - werden,to become - become
122,Ich werde in Deutschland leben.,I will live in Germany.
123,"Ich werde, du wirst, er wird, wir werden, ihr werdet, sie werden","I will, you will, he will, we will, you will, they will"
124,Deutsch ist eine sehr prÃ¤zise Sprache.,German is a very precise language.
126,From Me to Everyone 03:49 AM,From Me to Everyone 03: 49 AM
127,This may help for verb tenses: https://cheatography.com/joxtel/cheat-sheets/german-tenses/,This may help for verb tenses: https: / / cheatography.com / joxtel / cheat-sheets / english-tenses /
128,From Kathleen to Everyone 03:55 AM,From Kathleen to Everyone 03: 55 AM
129,Ist die EU besser zum Arbeiten als die USA,Is the EU better at work than the US?
130,"Ich verstehe nicht, warum er nach Europa zum Arbeiten kommen will.",I don't understand why he wants to come to Europe to work.
131,Du musst antworten,You have to answer
132,Ich denke..,I think..
133,Ich denke fÃ¼r mich persÃ¶nlich,I think for me personally
134,Ich mag Europa mehr.,I like Europe more.
135,das Gehalt,the salary
136,"Aber das Gehalt ist doch besser in Amerika, oder?","But the salary is better in America, isn't it?"
137,wichtig - wichtiger - am wichtigsten,important - more important - most important
138,hier,here
139,Geld ist hier am wichtigsten.,Money is the most important thing here.
140,Ich mag das nicht.,I don't like that.
141,Ist doch gar nicht schwer zu erklÃ¤ren.,It is not at all difficult to explain.
142,From Khaled Choqo to Everyone 03:56 AM,From Khaled Choqo to Everyone 03: 56 AM
143,Sorry Jessy fur mine frage :D,Sorry Jessy for mine question: D
144,From Kathleen to Everyone 03:58 AM,From Kathleen to Everyone 03: 58 AM
145,In den USA gibt es viele Probleme mit dem Gesundheitssystem,"In the US, there are many problems with the health system"
146,Das Studium ist in den USA teuer.,Studying in the US is expensive.
147,Schulden,Debt
148,From Me to Everyone 03:59 AM,From Me to Everyone 03: 59 AM
149,education seems to be treated as a human right not as profit,Education seems to be treated as a human right not as profit
151,From Kathleen to Everyone 04:12 AM,From Kathleen to Everyone 04: 12 AM
152,Ein Stipendium kann man relativ einfach Ã¼ber den DAAD bekommen.,One can get a scholarship relatively simply over the DAAD.
153,DAAD - Germaman Academic Exchange Service,DAAD - Germaman Academic Exchange Service
154,Zivilist bei der der Armee,Civilians in the army
155,Musst du bei einem Krieg im Krieg als Arzt arbeiten?,Do you have to work as a doctor in a war?
156,Krieg - war,War - war
159,Es ist nicht mehr nootwendig.,It is no longer necessary.
161,weil unser MilitÃ¤r stark ist.,because our military is strong.
162,Es gibt viele Menschen im MilitÃ¤r,There are many people in the military
163,Wo wohnst du genau in Miami? Ich habe auch in Miami gelebt?,Where do you live in Miami? I also lived in Miami?
164,sÃ¼dlich von Miami,south of Miami
165,Dann bin ich mehr in den Norden gegangen.,Then I went more to the north.
167,"Ja, wirkich.","Yes, really."
168,Hast du Kinder?,Do you have children?
169,Ich habe keine Kinder,I have no children
170,Bist du verheiratet?,Are you married?
172,"Nein, ich bin Single.","No, I'm single."
175,because of - wegen + Gen,because of - because of + gene
177,Hast du auch noch Fragen an die anderen?,Do you have any questions for the others?
179,Was war ein wichtiges Jahr fÃ¼r euch?,What was an important year for you?
181,"2019, weil ich geheiratet habe",2019 because I got married
182,From Me to Everyone 04:12 AM,From Me to Everyone 04: 12 AM
183,whats german for late congratulations,whats for late congratulations
184,From Kathleen to Everyone 04:20 AM,From Kathleen to Everyone 04: 20 AM
185,to marry - heiratet,to marry - get married
186,Herzlichen GlÃ¼ckwunsch,Congratulations
187,oppurtunity - MÃ¶glichkeit,oppurtunity - possibility
188,Ich habe .... verlassen,I have... left
189,Ich habe Chile verlassen.,I left Chile.
190,Ich wollte eine neue MÃ¶glichkeit auÃerhalb von Chile finden.,I wanted to find a new opportunity outside of Chile.
191,Was mÃ¶chtest du in Deutschland arbeiten?,What do you want to work in Germany?
192,Ich bin Medizin-Student.,I am a medical student.
193,"Ich studiere jetzt noch offiziell in Chile, aber ich mag Chile nicht und ich mÃ¶chte in Deutschland mein letztes Jahr absolvieren.","I am still officially studying in Chile, but I don't like Chile and I want to finish my last year in Germany."
194,Danach mÃ¶chte ich in Deutschland als Arzt arbeiten.,"After that, I would like to work as a doctor in Germany."
195,Psychiater,Psychiatrists
196,groÃ - grÃ¶Ãer - am grÃ¶Ãten,large - larger - the largest
197,der Traum,the dream
198,From Khaled Choqo to Everyone 04:22 AM,From Khaled Choqo to Everyone 04: 22 AM
199,then you should think about your dream again Elliot ð,You should think about your dream again Elliot
200,From Kathleen to Everyone 04:26 AM,From Kathleen to Everyone 04: 26 AM
201,Mein groÃer Traum ist in Deutschland die Spezialisierung zum Phsychiater zu machen.,My big dream is to become a psychiatrist in Germany.
202,die Hand heben,Raise your hand
203,Wow!,Wow!
204,Beeindruckend!,Impressive!
205,Aufregend!,Exciting!
206,Spannend!,Exciting!
208,GroÃartig!,Great!
209,brave - mutig,brave - brave
210,at first - zuerst,at first - first
212,From Me to Everyone 04:26 AM,From Me to Everyone 04: 26 AM
213,This is interesting because we have to shorten our thoughts and try to be very efficient with what we want to say,This is interesting because we have to shorten our thoughts and try to be very efficient with what we want to say
214,From Kathleen to Everyone 04:29 AM,From Kathleen to Everyone 04: 29 AM
215,Ich denke Elliot ist mutig.,I think Elliot is brave.
216,weil er aus Chile kommt,because he comes from Chile
217,Es ist einfacher fÃ¼r Elliot in Spanien zu studieren.,It is easier for Elliot to study in Spain.
218,From Me to Everyone 04:29 AM,From Me to Everyone 04: 29 AM
219,"How is the possessive of  someone's name such as ""Elliot's goal"" in Deutsch","How is the possessive of someone's name such as ""Elliot's goal"""
220,From Kathleen to Everyone 04:43 AM,From Kathleen to Everyone 04: 43 AM
221,"Er kann Spanisch, aber er lernt lieber Deutsch.",He can speak Spanish but prefers to learn German.
223,Ich spreche die gleiche Sprache.,I speak the same language.
225,Ich denke fÃ¼r Nataly ist,I think for Nataly is
226,auch einfacher,also simpler
227,similiar - Ã¤hnlich,similiar - similar
228,weil Portugiesisch und Spanisch Ã¤hnlich sind.,because Portuguese and Spanish are similar.
229,Ich liebe spanische Leute.,I love Spanish people.
230,Ich liebe die Spanier.,I love the Spaniards.
231,Sie sind schÃ¶n und glÃ¼cklich,They are beautiful and happy
232,Sie haben viel Lebensfreude.,They have a lot of zest for life.
233,Ich bin 36 Jahre alt.,I am 36 years old.
234,Und ich habe in zwei Wochen Geburtstag,And it's my birthday in two weeks.
235,Am dreiundzwanzigsten Oktober.,On the twenty-third of October.
236,Ich wurde 1985 in der DDR geboren.,I was born in the GDR in 1985.
237,Ich bin 29 Jahre alt.,I am 29 years old.
239,Bald werde ich 30,Soon I will be 30
240,Bald habe ich meinen dreiÃigsten Geburtstag,Soon I will have my thirtieth birthday
241,Am vierzehnten Mai 1993,On the fourteenth of May 1993
242,Ich bin 37 Jahre alt und wurde 1985 geboren,I am 37 years old and was born in 1985.
243,auf den Phillippienen,on the Phillippienen
244,Mein Geburtstag ist am,My birthday is on
246,Meine Frau ist schwanger,My wife is pregnant
248,Herzlichen GlÃ¼ckwunsch,Congratulations
249,Brian wird Vater,Brian Becomes a Father
250,Ich bin verheiratet.,I'm married.
251,WIe lange bist du mit deiner Frau verheiratet?,How long have you been married to your wife?
252,Ich bin 3 Jahren verheiratet,I am married 3 years
253,Was ist ein typusches Essen auf den Phillippinen?,What is a typical meal in the Phillippines?
255,From Me to Everyone 04:43 AM,From Me to Everyone 04: 43 AM
257,I was born in the Philippines,I was born in the Philippines
258,From Kathleen to Everyone 04:48 AM,From Kathleen to Everyone 04: 48 AM
260,Ich wurde auf den Philippinen geboren,I was born in the Philippines
261,Lumpia ist eine Rolle,Lumpia is a role
262,Schick uns doch mal ein Rezept fÃ¼r die grauen Herbsttage,Send us a recipe for the grey days of autumn
263,Dann kÃ¶nnen wir etwas kochen,Then we can cook something
264,Rezept - recipe,Recipe - recipe
265,schicken - senden,send - send
266,Schick uns eines per Mail,Send us one by e-mail
267,Khaled sieht jÃ¼nger aus.,Khaled looks younger.
268,Er sieht wie 23 aus. Das ist ein Kompliment.,"He looks like 23, which is a compliment."
269,Kathleen sieht wie eine Schauspielerin aus.,Kathleen looks like an actress.
270,From office@cohns-welt-deutschland.de to Everyone 04:48 AM,From office @ cohns-welt-to-everyone 04: 48 AM
271,Samantha sloyan,Samantha Cameron
272,From Kathleen to Everyone 04:57 AM,From Kathleen to Everyone 04: 57 AM
273,Macht sie hoffentlich gute Filme?,Does she make good movies?
274,Haare tatsÃ¤chlich rot,Hair really red
275,Ich habe sie nur gefÃ¤rbt.,I just dyed them.
276,Jetzt sind sie natÃ¼rlich.,Now they are natural.
277,Und blond von der Sonne,And blond by the sun
281,Das ganze Leben ist noch vor dir,The whole life is still ahead of you
282,1990 geboren,Born in 1990
284,Wir brauchen Abwechslung,We need variety
285,Wie brauchen viel VarietÃ¤t,We need a lot of variety
286,Es ist sonst langweilig,It's otherwise boring
288,F - Frage,F - Question
289,A - Antwort,A - Answer
